image,row,col,cluster,e0_gabor000,e0_gabor045,e0_gabor090,e0_gabor135,e0_log,e0_dog,e0_log2,e0_media,e1_gabor000,e1_gabor045,e1_gabor090,e1_gabor135,e1_log,e1_dog,e1_log2,e1_media,e2_gabor000,e2_gabor045,e2_gabor090,e2_gabor135,e2_log,e2_dog,e2_log2,e2_media
01.png,0,0,5,6.91515,5.83180,5.22485,6.91908,9.43602,8.06657,10.98750,82.90078,10.07844,6.25183,5.92795,9.37952,10.35576,10.37763,11.20597,81.13511,9.43810,8.34054,5.26973,9.45061,10.56046,13.10383,19.35119,79.93662
01.png,0,1,5,9.79073,6.87292,8.40910,10.62203,14.80658,9.58742,17.06144,86.47612,17.11918,9.15517,9.35331,11.70422,14.65739,7.40845,10.85557,86.48477,8.24840,8.07281,8.21364,5.64504,9.85671,6.58340,6.15327,86.17346
01.png,0,2,5,13.21953,7.61574,7.28201,9.42811,15.37313,10.93092,16.25286,113.88597,11.38489,9.77385,7.82792,9.97315,14.74347,5.85570,12.81391,112.19893,6.69992,9.74389,7.23814,7.22617,10.73531,4.10668,6.30292,109.71893
01.png,0,3,5,9.35272,6.77988,8.32339,8.60376,12.75213,9.34408,12.42002,98.21324,6.28945,9.49023,10.60289,6.48211,11.49549,7.76923,11.57556,99.41444,3.35281,9.35505,11.88264,3.14205,10.56664,5.37704,7.77523,98.92513
01.png,0,4,5,4.89068,4.85704,6.40047,6.76954,8.59527,8.02060,9.86878,92.77365,5.81806,5.32901,7.64130,7.36435,9.22763,10.00876,13.38444,91.16521,6.76140,7.17614,11.33045,8.38691,12.62812,9.01047,11.22254,90.83386
01.png,0,5,5,4.83986,4.34596,4.30281,4.16727,7.12850,9.79423,11.32861,209.51790,8.38530,5.86225,7.40710,5.35108,11.60265,13.38348,17.90524,205.84384,11.17641,8.67604,10.62344,10.82767,18.07237,8.14301,19.70702,196.97330
01.png,0,6,1,0.06164,0.08629,0.05210,0.03299,0.03440,0.15284,0.10282,254.91109,0.36081,0.24583,0.17437,0.16118,0.12393,0.84121,0.46148,254.73242,2.15615,1.32632,0.65487,1.06897,0.68104,7.46364,4.35072,253.72769
01.png,0,7,1,0.00000,0.00001,0.00000,0.00000,0.00001,0.00005,0.00000,255.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00005,0.00000,255.00002,0.00052,0.00058,0.00026,0.00088,0.00001,0.00815,0.00166,255.00000
01.png,0,8,1,0.00000,0.00001,0.00000,0.00000,0.00001,0.00005,0.00000,255.00000,0.00004,0.00013,0.00007,0.00002,0.00001,0.00103,0.00021,255.00000,0.05080,0.15305,0.02522,0.01882,0.00064,0.98435,0.23711,254.99606
01.png,0,9,3,1.47447,1.79532,1.35897,2.10612,2.68648,3.28344,4.54557,240.28680,3.91263,3.26611,2.00715,2.92780,4.17065,5.65964,5.70424,240.94656,4.33460,4.75665,5.02576,5.37502,5.39916,11.80981,12.63432,238.80084
01.png,0,10,5,5.28204,6.03647,4.19441,5.50083,7.78533,9.62323,11.37074,147.33139,6.72171,7.03842,6.07258,6.62763,11.63323,13.52802,20.07215,149.90381,7.95637,13.37043,10.60657,11.07589,19.68037,10.74842,19.29269,157.05669
01.png,0,11,5,4.54022,4.52315,3.71975,4.22067,6.43342,7.93076,9.71113,125.69910,7.84388,7.76489,6.22256,4.62102,9.68377,14.30914,16.28715,126.93623,9.62168,8.83557,13.90466,7.60211,16.99062,13.66705,23.89800,128.65536
01.png,0,12,5,7.26432,4.47404,3.96698,4.21404,7.63882,6.20178,9.09695,148.26523,8.29904,6.18736,5.16855,5.33324,8.36602,5.94355,8.80791,147.47864,5.53441,5.67760,5.62364,4.31896,8.08135,11.15603,12.68752,146.09012
01.png,0,13,4,4.24268,2.62443,2.01475,1.94838,4.03031,4.95001,6.20668,239.65189,7.02558,2.83667,2.38150,2.96066,5.81931,7.49814,8.00984,237.80551,7.23049,2.83011,4.59458,2.81730,8.23382,14.06707,16.52972,230.63719
01.png,0,14,4,4.01424,1.51362,1.51442,1.87356,3.71370,4.50505,5.40996,235.03836,4.79246,2.04625,2.37826,3.14117,5.38720,6.09744,7.75086,234.99045,7.44538,3.73129,4.14327,3.67597,7.69343,3.24795,7.74386,233.92775
01.png,0,15,1,0.36252,0.15980,0.16411,0.17840,0.34845,0.60048,0.65225,253.67737,1.04945,0.52150,0.42077,0.48686,0.74427,1.37456,1.24814,253.51044,2.42995,0.72950,0.79020,0.71341,1.44827,5.21801,3.55423,252.54999
01.png,1,0,5,8.53875,7.21879,8.80464,10.75506,13.26079,9.01903,13.72699,126.58105,9.80059,8.13406,9.12361,9.19444,12.26759,10.99328,12.88265,127.25905,12.75723,7.90121,8.46702,11.85637,12.51637,9.43124,13.16985,127.88339
01.png,1,1,5,5.87012,7.38346,9.35794,9.58241,12.19998,10.33831,14.16248,108.09804,8.14494,10.83804,11.26864,9.49180,12.98539,8.68427,12.40232,109.02838,6.01555,8.75718,4.93364,12.87874,11.06168,5.53162,8.52351,111.16295
01.png,1,2,5,7.00362,4.77078,5.07657,4.50745,7.69914,8.90523,10.31648,87.15121,10.58968,7.46814,7.25712,4.66009,10.01867,8.53384,13.32479,90.10426,6.57765,13.34573,5.56311,5.84170,12.81296,6.75632,6.94657,94.69858
